width = 20
height = 15
lumiSpawnX = 19
lumiSpawnY = 2
pattouSpawnX = 19
pattouSpawnY = 6
tiles =
1	3	3	3	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	2	9	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
1	2	2	9	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
1	2	2	10	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1
1	8	2	2	1	3	3	3	1	1	1	1	1	1	2	2	2	2	2	3
1	9	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3
1	10	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3
1	1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	1	1	1	1
1	1	1	1	4	2	2	2	2	2	2	1	5	2	2	2	2	2	1	1
1	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	1
1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1
1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	8	1
1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	1
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	1
1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
