width = 40
height = 25
lumiSpawnX = 36
lumiSpawnY = 2
pattouSpawnX = 2
pattouSpawnY = 23
tiles =
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1
1	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1
1	2	2	2	2	2	2	2	3	3	3	1	1	1	3	3	3	3	3	1	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1
1	1	1	1	1	8	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	3	2	2	2	1	1	1	1	1	1	1	1
1	2	2	2	2	9	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1
1	2	2	2	2	9	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1
1	2	2	2	2	9	2	2	3	2	2	1	1	1	1	1	8	2	2	3	2	2	3	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	1
1	2	2	2	2	10	2	2	3	2	2	2	2	2	2	2	9	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1
1	8	1	3	3	1	1	1	1	2	2	2	2	2	2	2	9	2	2	1	2	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1
1	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	2	2	3	2	2	3	2	2	1	2	2	2	2	2	1	1	1	1	2	2	2	2	1
1	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	2	2	3	2	2	3	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	2	1
1	1	1	1	1	3	3	3	3	1	1	1	1	2	2	2	9	2	2	1	2	2	3	2	2	2	2	1	2	2	2	2	2	2	3	2	2	2	2	1
1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	9	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	1
1	8	2	2	2	2	2	2	2	2	2	2	1	2	2	2	9	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1
1	9	1	1	3	3	3	1	1	1	2	2	3	2	2	2	9	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	1
1	9	2	2	2	2	2	2	2	1	2	2	3	2	2	2	9	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	1
1	9	2	2	2	2	2	2	2	3	2	2	3	2	2	2	10	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1
1	9	2	2	2	2	2	2	2	3	2	2	3	2	2	2	1	3	3	1	1	8	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1
1	9	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	9	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1
1	10	2	2	2	2	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	9	3	2	2	2	2	1	3	3	3	1	2	2	2	2	2	2	2	1
1	1	3	3	3	3	1	8	2	1	2	2	1	1	3	3	3	1	1	2	2	9	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
1	2	2	2	2	2	2	9	2	1	2	2	2	2	2	2	2	2	2	2	2	9	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
1	2	2	2	2	2	2	10	2	1	2	2	2	2	2	2	2	2	2	2	2	10	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
entities =
3 300 1 3 1 1 cutscene1 
